Phenotype,Average MAPE (%)
全长-1,0.15161088773112735
体长-2,0.210696953553715
头长-3,1.803298943317742
吻长-4,2.553106209273536
 眼径-5,4.173233469010569
眼后头长-6,2.8039083222922874
体高-7,7.564729154247655
头高-8,1.349242581015078
腹臀鳍基距-9,1.6409525081217056
尾柄高-10,5.123591695238275
尾柄长-11,6.99680428561074
背鳍基长-12,8.084773627656146
胸鳍长-13,8.455420171677057
腹鳍长-14,3.7465553395534714
臀鳍基长-15,8.897579529640733
尾鳍长-16,1.734345705323868
 背鳍前距-17,1.5058625033402477
背鳍后距-18,1.318015608662305
 胸背鳍距-19,3.5343264546408006
胸腹鳍距-20,5.0828725362063
腹背鳍距-21,2.239271489358692
臀鳍长-22,1.6530293846040067
背鳍长-23,5.134537046309175
