Phenotype,Average MAPE (%)
全长-1,0.21582494543344266
体长-2,0.19039879824595535
头长-3,1.5501049463775576
吻长-4,2.4648503702968925
 眼径-5,4.160906942494604
眼后头长-6,2.485399465028034
体高-7,8.09546360282629
头高-8,1.2122003002853445
腹臀鳍基距-9,1.6310420729698134
尾柄高-10,5.21746416406931
尾柄长-11,3.024852041301653
背鳍基长-12,4.300066675707344
胸鳍长-13,2.127888319287422
腹鳍长-14,4.382365381229502
臀鳍基长-15,5.672066233499233
尾鳍长-16,1.5947211394253067
 背鳍前距-17,0.997541763521383
背鳍后距-18,0.9552446011060896
 胸背鳍距-19,1.726270657849448
胸腹鳍距-20,1.2564408426988407
腹背鳍距-21,1.0439861618508641
臀鳍长-22,1.7795169849103591
背鳍长-23,2.5736240185899533
