Phenotype,Average MAPE (%)
全长-1,3.531537130111741
体长-2,0.45682644969656094
头长-3,0.9162326310705289
吻长-4,1.8248633039539004
 眼径-5,6.1696537545176025
眼后头长-6,1.5308130102127433
体高-7,1.1529392301295134
头高-8,1.4748817794189475
腹臀鳍基距-9,2.239866835761126
尾柄高-10,1.9758409156963748
尾柄长-11,3.7857321520670704
背鳍基长-12,6.899296558009223
胸鳍长-13,1.3941813364042548
腹鳍长-14,3.3015457385796436
臀鳍基长-15,1.5327121937404744
尾鳍长-16,25.07081396011541
 背鳍前距-17,1.760779669120486
背鳍后距-18,1.8224095342997486
 胸背鳍距-19,2.450594695077495
胸腹鳍距-20,6.821933491865293
腹背鳍距-21,1.6833318393538341
臀鳍长-22,1.7187541410068952
背鳍长-23,5.48816303030455
