Phenotype,Pearson Correlation,p-value
全长-1,0.9995721466133318,6.634022623076334e-60
体长-2,0.9996444438238358,1.971048256274874e-61
头长-3,0.9722543028312813,1.3989353683194245e-25
吻长-4,0.9741238489008238,3.777478291900289e-26
 眼径-5,0.7196627644269963,1.6665471411119264e-07
眼后头长-6,0.9534029269950312,2.252646183566413e-21
体高-7,0.9027944916831138,1.6816792574834257e-15
头高-8,0.2505056411460232,0.11897901144418184
腹臀鳍基距-9,0.9726366963754308,1.078252377307394e-25
尾柄高-10,0.8317051695571898,2.979238354061539e-11
尾柄长-11,0.9173402276118727,8.800609601150127e-17
背鳍基长-12,0.9309465188694588,3.256654906028074e-18
胸鳍长-13,0.9707653278891526,3.728596513160647e-25
腹鳍长-14,0.8869002479100051,2.5907050172814662e-14
臀鳍基长-15,0.7475257696551446,2.989045433624775e-08
尾鳍长-16,0.9745980748723665,2.669044071431786e-26
 背鳍前距-17,0.9910438358963904,7.686985035492501e-35
背鳍后距-18,0.989920805541791,7.183559746703929e-34
 胸背鳍距-19,0.9816046774537326,6.160401660892738e-29
胸腹鳍距-20,0.9847565553808133,1.780497152567155e-30
腹背鳍距-21,0.993283497205537,3.3075324064157157e-37
臀鳍长-22,0.9697595105224563,7.028790877481958e-25
背鳍长-23,0.9226087079402382,2.6385915824518578e-17
