Phenotype,Pearson Correlation,p-value
全长-1,0.9996186284983681,7.463827115299789e-61
体长-2,0.9996425268469277,2.1830265379224517e-61
头长-3,0.9691566065566305,1.0174283231507637e-24
吻长-4,0.9847542701554051,1.7855404214222303e-30
 眼径-5,0.8056252859086444,3.6094775927736036e-10
眼后头长-6,0.9528904818072661,2.7605733526696356e-21
体高-7,0.916474578710188,1.0644800680418749e-16
头高-8,0.9868007540026401,1.1749931404825928e-31
腹臀鳍基距-9,0.9678371800621979,2.2293626754074553e-24
尾柄高-10,0.8122814852563961,1.98139133153857e-10
尾柄长-11,0.8689263965817703,3.629043085088966e-13
背鳍基长-12,0.9163748008283701,1.0879370445046824e-16
胸鳍长-13,0.16665696408419894,0.30403540113180166
腹鳍长-14,-0.37549075229942014,0.016958494290094373
臀鳍基长-15,0.6084980019040953,3.1043710344830436e-05
尾鳍长-16,0.9771593380171971,3.622185670361743e-27
 背鳍前距-17,0.9862453963572272,2.5588253408306874e-31
背鳍后距-18,0.9868095622542993,1.160272131617724e-31
 胸背鳍距-19,0.9732878491306713,6.861745810008138e-26
胸腹鳍距-20,0.9652936946684446,9.260226083560159e-24
腹背鳍距-21,0.9919614068126451,9.937532088501129e-36
臀鳍长-22,0.9775764232029212,2.5613171541550246e-27
背鳍长-23,0.9115159307389753,3.046912577081383e-16
