Phenotype,Pearson Correlation,p-value
全长-1,0.9799161811318815,3.220496699751724e-28
体长-2,0.9957806517012999,4.928798509303877e-41
头长-3,0.9467513304397728,2.68209307650686e-20
吻长-4,0.9364610728327094,7.032586198526862e-19
 眼径-5,0.310532920509288,0.05114988968011081
眼后头长-6,0.9177298688387943,8.072860911919771e-17
体高-7,0.9782632912496324,1.4266871796323626e-27
头高-8,0.9587066144518347,2.375214722355055e-22
腹臀鳍基距-9,0.4513350520616912,0.0034651100094305596
尾柄高-10,0.9473903758313197,2.144260213304644e-20
尾柄长-11,0.9177968110253728,7.953690951517308e-17
背鳍基长-12,0.7709916180218602,5.8654463438540504e-09
胸鳍长-13,0.9614610598245918,6.553688316212227e-23
腹鳍长-14,0.21359387095300053,0.1857084183896255
臀鳍基长-15,0.964123685751537,1.7210584234712e-23
尾鳍长-16,0.7461827976687887,3.2634832406895206e-08
 背鳍前距-17,0.968906688159057,1.1834620233645486e-24
背鳍后距-18,0.9394723094199311,2.8707179895803895e-19
 胸背鳍距-19,0.8992366713937769,3.225024498554067e-15
胸腹鳍距-20,0.5712954370648319,0.00011805124939984195
腹背鳍距-21,0.9035244462023078,1.466829717399325e-15
臀鳍长-22,0.9644597033638329,1.443494840544155e-23
背鳍长-23,0.7944276837922912,9.417111174247234e-10
