Phenotype,R-squared
全长-1,0.9992374024409585
体长-2,0.9992851814809104
头长-3,0.9392645280323635
吻长-4,0.9697409725893044
 眼径-5,0.649032101295385
眼后头长-6,0.9080002703188841
体高-7,0.8399256534220165
头高-8,0.9737757281001792
腹臀鳍基距-9,0.9367088071107471
尾柄高-10,0.6598012112903369
尾柄长-11,0.7550330826765799
背鳍基长-12,0.839742775593235
胸鳍长-13,0.027774543677761554
腹鳍长-14,0.1409933050623844
臀鳍基长-15,0.37026981832127637
尾鳍长-16,0.9548403718742068
 背鳍前距-17,0.9726799818358242
背鳍后距-18,0.9737931121565218
 胸背鳍距-19,0.9472892372654087
胸腹鳍距-20,0.9317919169666561
腹背鳍距-21,0.9839874326057219
臀鳍长-22,0.9556556632022164
背鳍长-23,0.8308612919909405
