Phenotype,R-squared
全长-1,0.9993425874858463
体长-2,0.9990491150561964
头长-3,0.9304676602237251
吻长-4,0.9471690366980483
 眼径-5,0.556276548569373
眼后头长-6,0.8829770766434978
体高-7,0.0358516261708387
头高-8,0.9526048661839549
腹臀鳍基距-9,0.9410398065633677
尾柄高-10,0.6963931567972599
尾柄长-11,0.05613303894092625
背鳍基长-12,0.2052983679456618
胸鳍长-13,0.03602529105555041
腹鳍长-14,0.7565508432307744
臀鳍基长-15,0.13999471810377317
尾鳍长-16,0.9473773706153632
 背鳍前距-17,0.8464496193494315
背鳍后距-18,0.8639862075579453
 胸背鳍距-19,0.5180041444830428
胸腹鳍距-20,0.059480056063805686
腹背鳍距-21,0.6017997191101871
臀鳍长-22,0.948629220741204
背鳍长-23,0.1759188272641551
