Phenotype,R-squared
全长-1,0.865766182241543
体长-2,0.9910393551042002
头长-3,0.9505980236797184
吻长-4,0.8989905043273493
 眼径-5,0.1238700995125761
眼后头长-6,0.9393453753149683
体高-7,0.9546925320790167
头高-8,0.8913421261043133
腹臀鳍基距-9,0.7456404132835303
尾柄高-10,0.8700154619411136
尾柄长-11,0.831923608296085
背鳍基长-12,0.5815533578062384
胸鳍长-13,0.9288100253917337
腹鳍长-14,0.43065498583596573
臀鳍基长-15,0.9222926954883093
尾鳍长-16,0.3272372305363209
 背鳍前距-17,0.9372925913074325
背鳍后距-18,0.8953137168821523
 胸背鳍距-19,0.8018739447239733
胸腹鳍距-20,0.005106553089169741
腹背鳍距-21,0.8349855330195843
臀鳍长-22,0.9061877477409702
背鳍长-23,0.5287824922328455
