Phenotype,Average MAPE (%)
全长-1,0.16752101698635463
体长-2,0.15919888104077515
头长-3,1.4510932444041913
吻长-4,2.478632956372278
 眼径-5,4.832397655209693
眼后头长-6,2.0977667143764185
体高-7,2.236164446141654
头高-8,5.317816904661815
腹臀鳍基距-9,1.5944364841616048
尾柄高-10,5.503054378264637
尾柄长-11,2.8474480236714528
背鳍基长-12,4.012592149328201
胸鳍长-13,1.7240935401921782
腹鳍长-14,3.3060942602180483
臀鳍基长-15,5.415381961065756
尾鳍长-16,1.4508327016893356
 背鳍前距-17,0.9038248641132574
背鳍后距-18,0.8359453956844873
 胸背鳍距-19,1.5400251779165408
胸腹鳍距-20,1.291814619828336
腹背鳍距-21,0.9854652511022881
臀鳍长-22,1.7646477187634741
背鳍长-23,2.2541685301373873
