Phenotype,Average MAPE (%)
全长-1,0.14952395402023616
体长-2,0.17410747754461936
头长-3,1.8878838802396565
吻长-4,2.08051417059269
 眼径-5,4.133881660964311
眼后头长-6,2.5572486921017217
体高-7,7.5920778223872984
头高-8,1.4458985068304422
腹臀鳍基距-9,1.6407468711031694
尾柄高-10,6.128954851568274
尾柄长-11,2.9514452910877718
背鳍基长-12,3.952096172535075
胸鳍长-13,1.8622036955597003
腹鳍长-14,16.365983072952634
臀鳍基长-15,5.518025543266811
尾鳍长-16,1.4281020165111808
 背鳍前距-17,0.9300743243064297
背鳍后距-18,0.8252221800383854
 胸背鳍距-19,1.493040107433899
胸腹鳍距-20,1.3121726422590323
腹背鳍距-21,1.106813244598813
臀鳍长-22,1.5201665564330993
背鳍长-23,2.3106360019448955
