Phenotype,Average MAPE (%)
全长-1,0.19140572715585882
体长-2,0.4086252276350182
头长-3,1.6626397491053218
吻长-4,1.8942846163035818
 眼径-5,4.14621838996349
眼后头长-6,3.6965526376179283
体高-7,2.3047538170898187
头高-8,1.9402973329559365
腹臀鳍基距-9,2.6098362666898676
尾柄高-10,1.2758310379613835
尾柄长-11,8.695235969165624
背鳍基长-12,4.3112542799100195
胸鳍长-13,3.8849986122009468
腹鳍长-14,2.6787881729934413
臀鳍基长-15,5.417689372705903
尾鳍长-16,2.5162431012932918
 背鳍前距-17,1.4633531162789148
背鳍后距-18,2.018051614066933
 胸背鳍距-19,3.2318894730864
胸腹鳍距-20,2.799047506397386
腹背鳍距-21,1.9764997040782213
臀鳍长-22,2.929027891641574
背鳍长-23,2.630293972788176
