Phenotype,Average MAPE (%)
全长-1,2.851395790662009
体长-2,0.43634492171706396
头长-3,1.818105788580868
吻长-4,2.246690176781398
 眼径-5,7.608875221058943
眼后头长-6,2.27605085229339
体高-7,1.0598179095633533
头高-8,1.7472959613979413
腹臀鳍基距-9,3.337964705243769
尾柄高-10,1.710524242288799
尾柄长-11,3.32810842569537
背鳍基长-12,6.1861786924613735
胸鳍长-13,1.50342333038108
腹鳍长-14,4.88205897503163
臀鳍基长-15,1.406008778631773
尾鳍长-16,51.67637782690261
 背鳍前距-17,1.5556738939901646
背鳍后距-18,1.9884915667626708
 胸背鳍距-19,2.3351736098789098
胸腹鳍距-20,4.610752006616025
腹背鳍距-21,1.8283722297573615
臀鳍长-22,1.2073300928316477
背鳍长-23,4.599905798610959
