Phenotype,Pearson Correlation,p-value
全长-1,0.9996712397012562,4.448856748328884e-62
体长-2,0.9995244444515584,4.94104814831775e-59
头长-3,0.9646075161555215,1.3353126762533792e-23
吻长-4,0.9732260974193243,7.165658160934805e-26
 眼径-5,0.745839492497798,3.33730300218479e-08
眼后头长-6,0.9396685993708089,2.703564413664121e-19
体高-7,0.18934525653112855,0.24193129129941895
头高-8,0.976014787892046,9.081084213417538e-27
腹臀鳍基距-9,0.9700720625620387,5.785337808524028e-25
尾柄高-10,0.8345017416382424,2.2236494022996042e-11
尾柄长-11,0.23692412063976523,0.14102780239312632
背鳍基长-12,0.45309862937958834,0.0033248571186852336
胸鳍长-13,0.18980329569201504,0.24077314423650287
腹鳍长-14,0.8697993120431715,3.221808882445642e-13
臀鳍基长-15,0.3741586803800937,0.017385067080541643
尾鳍长-16,0.9733331241745363,6.646715951969213e-26
 背鳍前距-17,0.9200269666425173,4.810707433677229e-17
背鳍后距-18,0.9295085839076178,4.756860282871161e-18
 胸背鳍距-19,0.7197250478363545,1.6605374243492103e-07
胸腹鳍距-20,0.24388533384319305,0.12937800756683926
腹背鳍距-21,0.7757575130865233,4.115971675367793e-09
臀鳍长-22,0.9739759857107381,4.204012260477355e-26
背鳍长-23,0.4194267841520791,0.007058832247317113
