Phenotype,Pearson Correlation,p-value
全长-1,0.9996604994922801,8.193485830701713e-62
体长-2,0.9996262991859107,5.073765536366028e-61
头长-3,0.9723980813419929,1.2690165780762454e-25
吻长-4,0.9876164191810527,3.5214949005672526e-32
 眼径-5,0.782856808557401,2.38935431342979e-09
眼后头长-6,0.9526260358241276,3.063275493390922e-21
体高-7,0.6295499838308527,1.3491251750241002e-05
头高-8,0.9482477861708544,1.581063813476428e-20
腹臀鳍基距-9,0.9668150309552015,4.0039324376361075e-24
尾柄高-10,0.8159986898726923,1.4028092918796314e-10
尾柄长-11,0.9246417824672126,1.6200339057849536e-17
背鳍基长-12,0.9091678432615137,4.907813295395503e-16
胸鳍长-13,0.9741169701676233,3.7963774526370696e-26
腹鳍长-14,-0.3436226860117622,0.029936208100673618
臀鳍基长-15,0.7558814443071307,1.7090277190448524e-08
尾鳍长-16,0.9746354420465526,2.5962635542090743e-26
 背鳍前距-17,0.9895774227844132,1.3536155330055092e-33
背鳍后距-18,0.9894510071756474,1.7002207395730543e-33
 胸背鳍距-19,0.9799506506224562,3.1180121300422263e-28
胸腹鳍距-20,0.984300457984199,3.105340005397823e-30
腹背鳍距-21,0.9919662396184494,9.825037135820504e-36
臀鳍长-22,0.9782842442329813,1.4010364058683129e-27
背鳍长-23,0.9226006285370223,2.6436409848677355e-17
