Phenotype,R-squared
全长-1,0.9992371213616954
体长-2,0.999166664417272
头长-3,0.9314769217597073
吻长-4,0.9749944037144262
 眼径-5,0.656102960446409
眼后头长-6,0.8855751207764301
体高-7,0.5268319439884546
头高-8,0.9782410209460753
腹臀鳍基距-9,0.9348626726318665
尾柄高-10,0.6761147730486752
尾柄长-11,0.8384529429664932
背鳍基长-12,0.7907441924087528
胸鳍长-13,0.8770133177417611
腹鳍长-14,0.6171893361517742
臀鳍基长-15,0.5450285845141869
尾鳍长-16,0.9475554037734759
 背鳍前距-17,0.9705963656323733
背鳍后距-18,0.9727906548363503
 胸背鳍距-19,0.9433202325012516
胸腹鳍距-20,0.9697048498531148
腹背鳍距-21,0.9861372474635545
臀鳍长-22,0.9481305453400893
背鳍长-23,0.7917743109390558
