Phenotype,R-squared
全长-1,0.9991444762851842
体长-2,0.9992890140678662
头长-3,0.9452784293739411
吻长-4,0.9489172729973553
 眼径-5,0.5179144945027063
眼后头长-6,0.9089771412026924
体高-7,0.8150378942133719
头高-8,0.06275307624598014
腹臀鳍基距-9,0.9460221431361119
尾柄高-10,0.6917334890681539
尾柄长-11,0.8415130931950021
背鳍基长-12,0.8666614209951636
胸鳍长-13,0.9423853218317341
腹鳍长-14,0.7865920497428285
臀鳍基长-15,0.5587947762985161
尾鳍长-16,0.9498414075449227
 背鳍前距-17,0.9821678846682319
背鳍后距-18,0.9799432012445086
 胸背鳍距-19,0.963547742799046
胸腹鳍距-20,0.9697454733654848
腹背鳍距-21,0.9866121058208616
臀鳍长-22,0.9404335082487545
背鳍长-23,0.8512068279671555
