Phenotype,R-squared
全长-1,0.9602357220440904
体长-2,0.9915791063026657
头长-3,0.8963380816894797
吻长-4,0.8769593409309892
 眼径-5,0.09643069472002852
眼后头长-6,0.8422281121588704
体高-7,0.9569990670065629
头高-8,0.9191183725936991
腹臀鳍基距-9,0.20370332921952972
尾柄高-10,0.8975485242178094
尾柄长-11,0.8423509863283439
背鳍基长-12,0.594428075059966
胸鳍长-13,0.9244073695590274
腹鳍长-14,0.0456223417086874
臀鳍基长-15,0.9295344814271281
尾鳍长-16,0.5567887675368202
 背鳍前距-17,0.938780170359352
背鳍后距-18,0.8826082201668186
 胸背鳍距-19,0.8086265911793596
胸腹鳍距-20,0.3263784764110974
腹背鳍距-21,0.8163564248851866
臀鳍长-22,0.9301825194126526
背鳍长-23,0.6311153447755853
